Model,Transformer(Big),Evolved Transformer (Medium),Transformer.v2(Big),Evolved Transformer.v2(Medium),Gshard-600B,Switch-Transformer,GPT-3,BLOOM,WaveNet
Datacenter,Google Cloud,Google Cloud,Google Cloud,Google Cloud,Google Cloud,Google Cloud,Microsoft Azure,Google Cloud,Google Cloud
Gamma,429,478,478,478,201,403,429,378,378
PUE,1.59,1.11,1.11,1.11,1.09,1.1,1.1,1.2,1.5
Processor,P100,P100,TPU v2,TPU v2,TPU v3,TPU v3,V100, A100 ,Quadro 2000
TDP_WATTS,300,300,280,280,450,450,300,400,350
chip_num,8,8,8,8,1024,1024,10000,384,184
training_time,84,76.8,19.44,14.88,74.4,648,355.2,2832,2304
Energy(KWh),316,185,40,30,24100,179000,1287000,"4,33,195",1000000
CO2(tonnes),0.1357,0.0883,0.0189,0.0143,4.8,72.2,552.1,283,25




Gshard-600B,Google Cloud,201.0,1.09,TPU v3,450.0,1024.0,74.4,24100,4.8,7.5111763968
